model,feature,raw_auc,gated_auc,delta,floor,verdict
LGB,rel_start_select_mean,0.6139,0.5516,-0.0623,0.6861,no benefit
LGB,rel_rbs_mean,0.8788,0.857,-0.0218,0.8437,no benefit
LGB,rel_combined_mean,0.8236,0.8142,-0.0094,0.6791,no benefit
LGB,rel_codon_mean,0.6422,0.5931,-0.0491,0.8896,no benefit
LGB,rel_start_mean,0.8396,0.8201,-0.0195,0.8579,no benefit
Hybrid,small_fraction,0.5472,0.5456,-0.0016,36.2832,no benefit
Hybrid,gc_skew,0.5487,0.5312,-0.0175,0.0831,no benefit
Hybrid,codon_bias_index,0.5467,0.5409,-0.0058,0.1051,no benefit
Hybrid,stop_codon_type,0.5211,0.5211,0.0,0.0,no benefit
Hybrid,purine_content,0.5529,0.5348,-0.0181,0.5265,no benefit
Hybrid,gc_content,0.5265,0.5191,-0.0073,0.4979,no benefit
Hybrid,gc3_content,0.5592,0.5538,-0.0054,0.527,no benefit
SSC,frac_atg,0.5498,0.5228,-0.027,0.5,no benefit
SSC,any_stop_top2,0.5129,0.5111,-0.0018,13.0,no benefit
SSC,any_stop_top1,0.5685,0.5632,-0.0053,12.0,no benefit
SSC,d_genome_rbs,0.6365,0.5912,-0.0452,1.5602,no benefit
SSC,grp_rbs_mean,0.5159,0.5132,-0.0028,0.3419,no benefit
SSC,both_atg,0.5006,0.5,-0.0006,1.0,no benefit
SSC,score_range,0.5326,0.5214,-0.0112,11.3394,no benefit
SSC,d_ctx_pwm,0.5943,0.5678,-0.0265,0.0,no benefit
SSC,anti_sd_top1,0.5437,0.5372,-0.0065,0.5,no benefit
