acc,gc_pct,n_tp,n_fp,n_train_a,n_train_b,auc_a_combined_score,auc_b_combined_score,delta_combined_score,auc_a_rbs_score,auc_b_rbs_score,delta_rbs_score,auc_a_codon_score_norm,auc_b_codon_score_norm,delta_codon_score_norm,auc_a_imm_score_norm,auc_b_imm_score_norm,delta_imm_score_norm
NC_002947.4,61.5,52931,198343,761,1158,0.8132,0.8169,0.0037,0.5261,0.5261,0.0,0.8337,0.8369,0.0032,0.8423,0.8437,0.0015
NC_002929.2,67.7,36323,131123,341,508,0.8165,0.8212,0.0047,0.5079,0.5079,0.0,0.862,0.8639,0.0019,0.865,0.8679,0.0028
NC_003143.1,47.6,46221,121529,1322,1605,0.7954,0.7953,-0.0001,0.5527,0.5527,0.0,0.7946,0.7929,-0.0017,0.795,0.7925,-0.0025
NC_003116.1,51.8,18199,73177,839,803,0.8088,0.8077,-0.0011,0.5345,0.5345,0.0,0.8096,0.8082,-0.0013,0.8238,0.8216,-0.0023
NC_004757.1,50.7,22558,91260,1048,1016,0.8147,0.8138,-0.0009,0.5354,0.5354,0.0,0.8179,0.8161,-0.0017,0.8198,0.8184,-0.0015
NC_008497.1,46.2,19588,58479,1078,830,0.7781,0.7773,-0.0008,0.574,0.574,0.0,0.7661,0.7658,-0.0004,0.7675,0.7648,-0.0027
NC_004350.2,36.8,15090,38907,1103,772,0.812,0.8106,-0.0014,0.5584,0.5584,0.0,0.8173,0.8173,-0.0001,0.8117,0.8097,-0.002
NC_006270.3,46.2,36512,110589,1146,1495,0.8238,0.8232,-0.0006,0.5973,0.5973,0.0,0.8224,0.8211,-0.0013,0.8152,0.8136,-0.0016
NC_006274.1,35.4,34702,81702,1299,2055,0.8006,0.8004,-0.0002,0.6298,0.6298,0.0,0.7914,0.7912,-0.0002,0.7791,0.7795,0.0004
NC_003030.1,30.9,23925,45214,1271,1497,0.7682,0.768,-0.0002,0.6412,0.6412,0.0,0.7564,0.7562,-0.0003,0.7448,0.745,0.0001
NC_003155.5,70.7,59424,305600,310,491,0.8185,0.8252,0.0067,0.5094,0.5094,0.0,0.8701,0.8698,-0.0003,0.8503,0.8613,0.011
NC_003450.3,53.8,28013,108363,940,1110,0.8298,0.8293,-0.0005,0.5069,0.5069,0.0,0.8414,0.8402,-0.0012,0.8489,0.8475,-0.0014
NC_002677.1,57.8,24267,110461,422,565,0.8491,0.848,-0.0011,0.5382,0.5382,0.0,0.8717,0.8704,-0.0013,0.8525,0.8479,-0.0046
NC_008268.1,67.5,60753,255437,372,799,0.8353,0.8317,-0.0036,0.5124,0.5124,0.0,0.872,0.8699,-0.0021,0.8714,0.8697,-0.0016
NC_006958.1,53.8,27849,107459,936,1090,0.8308,0.8305,-0.0004,0.5068,0.5068,0.0,0.8439,0.843,-0.0009,0.8499,0.8486,-0.0013
NC_008818.1,53.7,12148,35444,552,441,0.8384,0.839,0.0006,0.59,0.59,0.0,0.8479,0.8479,0.0,0.8448,0.8477,0.003
NC_015948.1,63.7,20327,92920,827,924,0.8533,0.8526,-0.0006,0.5294,0.5294,0.0,0.8751,0.8745,-0.0006,0.8709,0.8706,-0.0002
NC_014408.1,48.6,13393,44704,816,642,0.8392,0.8388,-0.0004,0.6009,0.6009,0.0,0.8432,0.8425,-0.0007,0.8428,0.8431,0.0003
NC_019977.1,42.6,22755,61580,1088,939,0.8271,0.8246,-0.0024,0.5833,0.5833,0.0,0.8254,0.8216,-0.0038,0.8174,0.8127,-0.0047
NC_007644.1,55.8,20435,64998,820,646,0.7987,0.7943,-0.0044,0.5642,0.5642,0.0,0.7839,0.7764,-0.0075,0.8046,0.796,-0.0087
