acc,gc_pct,base_n,base_tpf,keep_pct,n,tp,fp,tpf,n_delta,tp_delta_pp,viable
NC_002947.4,61.5,761,0.791,10,166,161,5,0.97,-595,17.88,False
NC_002947.4,61.5,761,0.791,20,331,319,12,0.964,-430,17.27,False
NC_002947.4,61.5,761,0.791,30,496,477,19,0.962,-265,17.06,False
NC_002947.4,61.5,761,0.791,40,662,621,41,0.938,-99,14.7,True
NC_002947.4,61.5,761,0.791,50,827,754,73,0.912,66,12.07,True
NC_002947.4,61.5,761,0.791,60,992,865,127,0.872,231,8.09,True
NC_002947.4,61.5,761,0.791,70,1158,988,170,0.853,397,6.21,True
NC_002947.4,61.5,761,0.791,80,1323,1067,256,0.807,562,1.54,True
NC_002947.4,61.5,761,0.791,90,1488,1138,350,0.765,727,-2.63,False
NC_002929.2,67.7,341,0.686,10,77,76,1,0.987,-264,30.08,False
NC_002929.2,67.7,341,0.686,20,146,144,2,0.986,-195,30.01,False
NC_002929.2,67.7,341,0.686,30,218,205,13,0.94,-123,25.41,False
NC_002929.2,67.7,341,0.686,40,291,262,29,0.9,-50,21.41,True
NC_002929.2,67.7,341,0.686,50,363,322,41,0.887,22,20.08,True
NC_002929.2,67.7,341,0.686,60,436,382,54,0.876,95,18.99,True
NC_002929.2,67.7,341,0.686,70,508,436,72,0.858,167,17.21,True
NC_002929.2,67.7,341,0.686,80,581,488,93,0.84,240,15.37,True
NC_002929.2,67.7,341,0.686,90,653,517,136,0.792,312,10.55,True
NC_003143.1,47.6,1322,0.896,10,230,222,8,0.965,-1092,6.88,False
NC_003143.1,47.6,1322,0.896,20,459,438,21,0.954,-863,5.79,False
NC_003143.1,47.6,1322,0.896,30,688,650,38,0.945,-634,4.84,False
NC_003143.1,47.6,1322,0.896,40,917,862,55,0.94,-405,4.37,False
NC_003143.1,47.6,1322,0.896,50,1147,1071,76,0.934,-175,3.74,True
NC_003143.1,47.6,1322,0.896,60,1376,1279,97,0.93,54,3.31,True
NC_003143.1,47.6,1322,0.896,70,1605,1473,132,0.918,283,2.14,True
