acc,best_target,variant,n,tp_pct,base_n,base_tp_pct,delta_tp_pp
NC_002947.4,4000,p2-50%,646,93.8,761,79.1,14.7
NC_002929.2,4000,p2-50%,320,88.7,341,68.6,20.1
NC_003143.1,6000,p2-50%,1147,93.4,1322,89.6,3.8
NC_003116.1,2000,no-p2,839,80.0,839,80.0,0.0
NC_004757.1,2000,no-p2,1048,88.6,1048,88.6,0.0
NC_008497.1,2000,no-p2,1078,87.8,1078,87.8,0.0
NC_004350.2,2000,no-p2,1103,91.1,1103,91.1,0.0
NC_006270.3,6000,p2-50%,1068,91.6,1146,87.3,4.3
NC_006274.1,4000,p2-50%,1210,93.1,1299,89.5,3.6
NC_003030.1,4000,p2-50%,1070,95.9,1271,91.0,4.9
NC_003155.5,4000,p2-50%,252,89.3,310,66.8,22.5
NC_003450.3,6000,p2-50%,793,92.4,940,88.6,3.8
NC_002677.1,6000,p2-50%,404,82.2,422,76.1,6.1
NC_008268.1,8000,p2-50%,470,89.4,372,75.3,14.1
NC_006958.1,6000,p2-50%,779,92.6,936,88.8,3.8
NC_008818.1,2000,no-p2,552,77.4,552,77.4,0.0
NC_015948.1,8000,p2-50%,678,92.3,827,86.6,5.7
NC_014408.1,2000,no-p2,816,86.3,816,86.3,0.0
NC_019977.1,2000,no-p2,1088,90.2,1088,90.2,0.0
NC_007644.1,2000,no-p2,820,86.0,820,86.0,0.0
