acc,gc_pct,n_training,n_tp_before,n_fp_before,tp_frac_before,frac_negative,gate_fires,n_after_p25,tp_after_p25,fp_after_p25,tp_frac_after_p25,delta_p25,n_after_p50,tp_after_p50,fp_after_p50,tp_frac_after_p50,delta_p50,n_after_p75,tp_after_p75,fp_after_p75,tp_frac_after_p75,delta_p75
NC_002947.4,61.5,761,602,159,0.791,0.42,True,191,184,7,0.963,0.172,381,365,16,0.958,0.167,571,515,56,0.902,0.111
NC_002929.2,67.7,341,234,107,0.686,0.396,True,86,75,11,0.872,0.186,171,141,30,0.825,0.138,256,202,54,0.789,0.103
NC_003143.1,47.6,1322,1185,137,0.896,0.489,True,331,318,13,0.961,0.064,661,622,39,0.941,0.045,991,918,73,0.926,0.03
NC_003116.1,51.8,839,671,168,0.8,0.429,True,210,199,11,0.948,0.148,420,383,37,0.912,0.112,629,549,80,0.873,0.073
NC_004757.1,50.7,1048,929,119,0.886,0.451,True,262,246,16,0.939,0.052,524,489,35,0.933,0.047,786,726,60,0.924,0.037
NC_008497.1,46.2,1078,946,132,0.878,0.45,True,270,254,16,0.941,0.063,539,507,32,0.941,0.063,808,742,66,0.918,0.041
NC_004350.2,36.8,1103,1005,98,0.911,0.439,True,276,264,12,0.957,0.045,553,534,19,0.966,0.054,827,790,37,0.955,0.044
NC_006270.3,46.2,1146,1001,145,0.873,0.472,True,287,278,9,0.969,0.095,573,537,36,0.937,0.064,859,781,78,0.909,0.036
NC_006274.1,35.4,1299,1162,137,0.895,0.497,True,325,309,16,0.951,0.056,650,602,48,0.926,0.032,974,889,85,0.913,0.018
NC_003030.1,30.9,1271,1157,114,0.91,0.499,True,318,311,7,0.978,0.068,636,608,28,0.956,0.046,953,897,56,0.941,0.031
NC_003155.5,70.7,310,207,103,0.668,0.419,True,78,74,4,0.949,0.281,155,137,18,0.884,0.216,232,189,43,0.815,0.147
NC_003450.3,53.8,940,833,107,0.886,0.46,True,235,217,18,0.923,0.037,471,440,31,0.934,0.048,705,653,52,0.926,0.04
NC_002677.1,57.8,422,321,101,0.761,0.389,True,106,98,8,0.925,0.164,211,190,21,0.9,0.14,316,274,42,0.867,0.106
NC_008268.1,67.5,372,280,92,0.753,0.446,True,93,84,9,0.903,0.151,186,170,16,0.914,0.161,279,239,40,0.857,0.104
NC_006958.1,53.8,936,831,105,0.888,0.448,True,234,215,19,0.919,0.031,468,434,34,0.927,0.04,702,649,53,0.925,0.037
NC_008818.1,53.7,552,427,125,0.774,0.413,True,138,130,8,0.942,0.168,276,255,21,0.924,0.15,414,365,49,0.882,0.108
NC_015948.1,63.7,827,716,111,0.866,0.438,True,207,198,9,0.957,0.091,414,390,24,0.942,0.076,620,567,53,0.915,0.049
NC_014408.1,48.6,816,704,112,0.863,0.409,True,204,200,4,0.98,0.118,408,382,26,0.936,0.074,612,563,49,0.92,0.057
NC_019977.1,42.6,1088,981,107,0.902,0.468,True,272,254,18,0.934,0.032,544,509,35,0.936,0.034,816,755,61,0.925,0.024
NC_007644.1,55.8,820,705,115,0.86,0.449,True,205,199,6,0.971,0.111,410,377,33,0.92,0.06,615,552,63,0.898,0.038
