accession,source,phylum,gc_pct,genome_size_mb,n_training,n_orfs,n_groups,mean_codon,mean_imm,mean_rbs,f1_pct
NC_002947.4,holdout,Proteobacteria,61.52,6.18,761,251274,10181,-0.0288,0.0299,9.2931,70.76
NC_002929.2,holdout,Proteobacteria,67.72,4.09,558,167446,7576,0.11,0.1092,9.4165,60.06
NC_003143.1,holdout,Proteobacteria,47.64,4.65,1322,167750,5344,0.0699,0.0846,8.8167,80.87
NC_003116.1,holdout,Proteobacteria,51.81,2.18,839,91376,4519,0.0549,0.1798,8.792,72.4
NC_004757.1,holdout,Proteobacteria,50.72,2.81,1048,113818,5159,0.0254,0.0692,8.9326,72.0
NC_008497.1,holdout,Firmicutes,46.22,2.29,1078,78067,2372,0.0542,0.0915,9.2317,86.19
NC_004350.2,holdout,Firmicutes,36.83,2.03,1103,53997,1979,0.0279,0.0701,8.8495,87.08
NC_006270.3,holdout,Firmicutes,46.19,4.22,1146,147101,6214,0.0475,0.0828,8.7721,80.06
NC_006274.1,holdout,Firmicutes,35.35,5.3,1299,116404,5527,0.033,0.0707,8.8257,84.49
NC_003030.1,holdout,Firmicutes,30.93,3.94,1271,69139,3768,0.0835,0.0801,9.1035,88.01
NC_003155.5,holdout,Actinobacteria,70.72,9.03,486,365024,20154,0.0716,0.1262,9.4604,66.34
NC_003450.3,holdout,Actinobacteria,53.81,3.31,940,136376,5515,-0.0245,0.0548,9.134,70.8
NC_002677.1,holdout,Actinobacteria,57.8,3.27,580,134728,6167,0.0023,0.0379,9.322,41.74
NC_008268.1,holdout,Actinobacteria,67.52,7.8,521,316190,16312,0.0053,0.0632,9.3615,65.34
NC_006958.1,holdout,Actinobacteria,53.84,3.28,936,135308,5382,-0.0247,0.0501,9.136,69.81
NC_008818.1,holdout,Archaea,53.74,1.67,552,47592,2388,0.0105,0.0657,9.3197,60.88
NC_015948.1,holdout,Archaea,63.69,3.0,827,113247,7857,0.0932,0.1041,9.1118,76.79
NC_014408.1,holdout,Archaea,48.65,1.63,816,58097,2983,0.077,0.0935,9.2476,74.95
NC_019977.1,holdout,Archaea,42.62,2.43,1088,84335,3633,0.0815,0.0835,8.8711,74.97
NC_007644.1,holdout,Archaea,55.79,2.63,820,85433,4872,0.0566,0.0743,9.2442,71.81
NC_009648.1,catalog,Proteobacteria,57.48,5.32,1095,204375,10027,0.1085,0.124,9.0617,
NC_012759.1,catalog,Proteobacteria,50.79,4.58,1212,174086,6863,0.0673,0.0905,8.8324,
NC_010067.1,catalog,Proteobacteria,51.38,4.6,1243,160681,6883,0.0869,0.096,8.8738,
NC_011415.1,catalog,Proteobacteria,50.8,4.89,1252,185114,7393,0.0726,0.093,8.8363,
NC_011294.1,catalog,Proteobacteria,52.17,4.69,1255,166921,7227,0.0877,0.1037,8.8764,
NC_002737.2,catalog,Firmicutes,38.51,1.85,1018,50971,1798,0.0542,0.091,9.0139,
NC_017195.1,catalog,Firmicutes,43.87,4.01,1182,133489,5037,0.0341,0.1036,8.7792,
NC_016047.1,catalog,Firmicutes,43.82,4.21,1169,139919,5290,0.0402,0.1007,8.7859,
NC_009641.1,catalog,Firmicutes,32.89,2.88,1236,61540,2792,0.0577,0.0674,8.9607,
NC_020291.1,catalog,Firmicutes,29.54,6.53,1418,109985,5748,0.0773,0.0795,9.179,
NC_019673.1,catalog,Actinobacteria,72.19,9.36,265,378426,17195,0.1402,0.1454,9.5691,
NC_000962.3,catalog,Actinobacteria,65.61,4.41,654,180460,7715,0.0075,0.0559,9.4337,
NC_018143.2,catalog,Actinobacteria,65.62,4.41,668,180468,7942,0.0045,0.0622,9.4346,
NC_020133.1,catalog,Actinobacteria,65.62,6.21,671,252358,11400,-0.0056,0.0633,9.3763,
NC_003888.3,catalog,Actinobacteria,72.12,8.67,370,350700,19879,0.1524,0.1978,9.5095,
NC_010085.1,catalog,Archaea,34.17,1.65,910,42276,2102,0.0289,0.0586,8.789,
NC_009975.1,catalog,Archaea,33.42,1.74,1019,38927,2152,0.0821,0.0794,8.8426,
NC_013156.1,catalog,Archaea,32.21,1.49,849,30464,1625,0.1106,0.1068,9.063,
NC_009073.1,catalog,Archaea,57.15,2.01,626,84372,2917,0.0785,0.0831,9.3433,
NC_016051.1,catalog,Archaea,54.78,2.09,660,62768,3856,0.0949,0.1048,9.1855,
