acc,label,gc_pct,bias_t,nc_t,rule,tp_ret,fp_rem,n_post,tp_pct,pass
NC_002677.1,M. leprae,57.8,0.04,2.5,OR,94.8,27.0,507,71.8,False
NC_002677.1,M. leprae,57.8,0.04,2.5,AND,7.0,98.0,31,87.1,False
NC_002677.1,M. leprae,57.8,0.04,3.0,OR,97.7,7.7,556,67.4,False
NC_002677.1,M. leprae,57.8,0.04,3.0,AND,80.5,41.3,424,72.9,False
NC_002677.1,M. leprae,57.8,0.04,3.5,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.04,3.5,AND,94.5,27.0,506,71.7,False
NC_002677.1,M. leprae,57.8,0.04,4.0,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.04,4.0,AND,94.5,27.0,506,71.7,False
NC_002677.1,M. leprae,57.8,0.04,5.0,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.04,5.0,AND,94.5,27.0,506,71.7,False
NC_002677.1,M. leprae,57.8,0.06,2.5,OR,89.3,39.3,462,74.2,False
NC_002677.1,M. leprae,57.8,0.06,2.5,AND,7.0,98.0,31,87.1,False
NC_002677.1,M. leprae,57.8,0.06,3.0,OR,95.6,11.2,541,67.8,False
NC_002677.1,M. leprae,57.8,0.06,3.0,AND,77.1,50.0,394,75.1,False
NC_002677.1,M. leprae,57.8,0.06,3.5,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.06,3.5,AND,89.1,39.3,461,74.2,False
NC_002677.1,M. leprae,57.8,0.06,4.0,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.06,4.0,AND,89.1,39.3,461,74.2,False
NC_002677.1,M. leprae,57.8,0.06,5.0,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.06,5.0,AND,89.1,39.3,461,74.2,False
NC_002677.1,M. leprae,57.8,0.08,2.5,OR,81.2,50.0,410,76.1,False
NC_002677.1,M. leprae,57.8,0.08,2.5,AND,6.8,98.5,29,89.7,False
NC_002677.1,M. leprae,57.8,0.08,3.0,OR,93.0,13.3,527,67.7,False
NC_002677.1,M. leprae,57.8,0.08,3.0,AND,71.4,59.2,354,77.4,False
NC_002677.1,M. leprae,57.8,0.08,3.5,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.08,3.5,AND,80.7,50.5,407,76.2,False
NC_002677.1,M. leprae,57.8,0.08,4.0,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.08,4.0,AND,80.7,50.5,407,76.2,False
NC_002677.1,M. leprae,57.8,0.08,5.0,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.08,5.0,AND,80.7,50.5,407,76.2,False
NC_002677.1,M. leprae,57.8,0.1,2.5,OR,70.1,63.8,340,79.1,False
NC_002677.1,M. leprae,57.8,0.1,2.5,AND,6.5,98.5,28,89.3,False
NC_002677.1,M. leprae,57.8,0.1,3.0,OR,89.8,17.9,506,68.2,False
NC_002677.1,M. leprae,57.8,0.1,3.0,AND,63.0,68.4,304,79.6,False
NC_002677.1,M. leprae,57.8,0.1,3.5,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.1,3.5,AND,69.3,64.3,336,79.2,False
NC_002677.1,M. leprae,57.8,0.1,4.0,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.1,4.0,AND,69.3,64.3,336,79.2,False
NC_002677.1,M. leprae,57.8,0.1,5.0,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.1,5.0,AND,69.3,64.3,336,79.2,False
NC_002677.1,M. leprae,57.8,0.12,2.5,OR,55.7,71.9,269,79.6,False
NC_002677.1,M. leprae,57.8,0.12,2.5,AND,6.0,98.5,26,88.5,False
NC_002677.1,M. leprae,57.8,0.12,3.0,OR,88.0,20.9,493,68.6,False
NC_002677.1,M. leprae,57.8,0.12,3.0,AND,50.0,73.5,244,78.7,False
NC_002677.1,M. leprae,57.8,0.12,3.5,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.12,3.5,AND,54.4,72.4,263,79.5,False
NC_002677.1,M. leprae,57.8,0.12,4.0,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.12,4.0,AND,54.4,72.4,263,79.5,False
NC_002677.1,M. leprae,57.8,0.12,5.0,OR,100.0,0.0,580,66.2,False
NC_002677.1,M. leprae,57.8,0.12,5.0,AND,54.4,72.4,263,79.5,False
NC_002929.2,B. pertussis,67.7,0.04,2.5,OR,97.0,29.6,463,55.3,False
NC_002929.2,B. pertussis,67.7,0.04,2.5,AND,84.1,77.2,289,76.8,False
NC_002929.2,B. pertussis,67.7,0.04,3.0,OR,99.6,1.0,554,47.5,False
NC_002929.2,B. pertussis,67.7,0.04,3.0,AND,94.7,43.2,417,60.0,True
NC_002929.2,B. pertussis,67.7,0.04,3.5,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.04,3.5,AND,97.0,33.3,452,56.6,False
NC_002929.2,B. pertussis,67.7,0.04,4.0,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.04,4.0,AND,97.0,33.3,452,56.6,False
NC_002929.2,B. pertussis,67.7,0.04,5.0,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.04,5.0,AND,97.0,33.3,452,56.6,False
NC_002929.2,B. pertussis,67.7,0.06,2.5,OR,95.1,40.1,427,58.8,True
NC_002929.2,B. pertussis,67.7,0.06,2.5,AND,83.7,77.9,286,77.3,False
NC_002929.2,B. pertussis,67.7,0.06,3.0,OR,99.6,2.4,550,47.8,False
NC_002929.2,B. pertussis,67.7,0.06,3.0,AND,92.4,53.1,382,63.9,True
NC_002929.2,B. pertussis,67.7,0.06,3.5,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.06,3.5,AND,94.7,44.6,413,60.5,True
NC_002929.2,B. pertussis,67.7,0.06,4.0,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.06,4.0,AND,94.7,44.6,413,60.5,True
NC_002929.2,B. pertussis,67.7,0.06,5.0,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.06,5.0,AND,94.7,44.6,413,60.5,True
NC_002929.2,B. pertussis,67.7,0.08,2.5,OR,93.9,49.7,396,62.6,True
NC_002929.2,B. pertussis,67.7,0.08,2.5,AND,83.7,80.6,278,79.5,False
NC_002929.2,B. pertussis,67.7,0.08,3.0,OR,99.6,2.4,550,47.8,False
NC_002929.2,B. pertussis,67.7,0.08,3.0,AND,91.3,65.3,343,70.3,False
NC_002929.2,B. pertussis,67.7,0.08,3.5,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.08,3.5,AND,93.6,56.8,374,66.0,True
NC_002929.2,B. pertussis,67.7,0.08,4.0,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.08,4.0,AND,93.6,56.8,374,66.0,True
NC_002929.2,B. pertussis,67.7,0.08,5.0,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.08,5.0,AND,93.6,56.8,374,66.0,True
NC_002929.2,B. pertussis,67.7,0.1,2.5,OR,92.0,53.7,379,64.1,True
NC_002929.2,B. pertussis,67.7,0.1,2.5,AND,83.3,82.0,273,80.6,False
NC_002929.2,B. pertussis,67.7,0.1,3.0,OR,98.5,2.7,546,47.6,False
NC_002929.2,B. pertussis,67.7,0.1,3.0,AND,90.2,70.4,325,73.2,False
NC_002929.2,B. pertussis,67.7,0.1,3.5,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.1,3.5,AND,91.3,62.2,352,68.5,True
NC_002929.2,B. pertussis,67.7,0.1,4.0,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.1,4.0,AND,91.3,62.2,352,68.5,True
NC_002929.2,B. pertussis,67.7,0.1,5.0,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.1,5.0,AND,91.3,62.2,352,68.5,True
NC_002929.2,B. pertussis,67.7,0.12,2.5,OR,90.9,55.4,371,64.7,True
NC_002929.2,B. pertussis,67.7,0.12,2.5,AND,82.6,83.3,267,81.6,False
NC_002929.2,B. pertussis,67.7,0.12,3.0,OR,98.1,3.1,544,47.6,False
NC_002929.2,B. pertussis,67.7,0.12,3.0,AND,88.6,73.1,313,74.8,False
NC_002929.2,B. pertussis,67.7,0.12,3.5,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.12,3.5,AND,89.4,65.3,338,69.8,False
NC_002929.2,B. pertussis,67.7,0.12,4.0,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.12,4.0,AND,89.4,65.3,338,69.8,False
NC_002929.2,B. pertussis,67.7,0.12,5.0,OR,100.0,0.0,558,47.3,False
NC_002929.2,B. pertussis,67.7,0.12,5.0,AND,89.4,65.3,338,69.8,False
NC_008818.1,Hyperthermus,53.7,0.04,2.5,OR,73.3,32.0,398,78.6,False
NC_008818.1,Hyperthermus,53.7,0.04,2.5,AND,17.1,88.8,87,83.9,False
NC_008818.1,Hyperthermus,53.7,0.04,3.0,OR,90.4,9.6,499,77.4,False
NC_008818.1,Hyperthermus,53.7,0.04,3.0,AND,62.5,42.4,339,78.8,False
NC_008818.1,Hyperthermus,53.7,0.04,3.5,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.04,3.5,AND,70.7,33.6,385,78.4,False
NC_008818.1,Hyperthermus,53.7,0.04,4.0,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.04,4.0,AND,70.7,33.6,385,78.4,False
NC_008818.1,Hyperthermus,53.7,0.04,5.0,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.04,5.0,AND,70.7,33.6,385,78.4,False
NC_008818.1,Hyperthermus,53.7,0.06,2.5,OR,60.9,46.4,327,79.5,False
NC_008818.1,Hyperthermus,53.7,0.06,2.5,AND,15.5,92.0,76,86.8,False
NC_008818.1,Hyperthermus,53.7,0.06,3.0,OR,87.1,12.0,482,77.2,False
NC_008818.1,Hyperthermus,53.7,0.06,3.0,AND,51.8,57.6,274,80.7,False
NC_008818.1,Hyperthermus,53.7,0.06,3.5,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.06,3.5,AND,56.7,51.2,303,79.9,False
NC_008818.1,Hyperthermus,53.7,0.06,4.0,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.06,4.0,AND,56.7,51.2,303,79.9,False
NC_008818.1,Hyperthermus,53.7,0.06,5.0,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.06,5.0,AND,56.7,51.2,303,79.9,False
NC_008818.1,Hyperthermus,53.7,0.08,2.5,OR,49.2,61.6,258,81.4,False
NC_008818.1,Hyperthermus,53.7,0.08,2.5,AND,13.8,92.8,68,86.8,False
