acc,gc_pct,threshold,f1,sensitivity,precision,baseline_f1,df1
NC_002947.4,61.52402354432063,0.3,72.27882037533512,61.39551830934597,87.85192909280501,72.13,0.14882037533512005
NC_002947.4,61.52402354432063,0.32,72.32075674513597,61.28620878119876,88.20136339800733,72.13,0.19075674513597107
NC_002947.4,61.52402354432063,0.34,72.30835486649441,61.17689925305155,88.39168202158463,72.13,0.17835486649441634
NC_002947.4,61.52402354432063,0.36,72.32894452838333,61.04937147021315,88.72120730738682,72.13,0.1989445283833362
NC_002947.4,61.52402354432063,0.38,72.30402771762667,60.830752413918745,89.11128903122498,72.13,0.17402771762667157
NC_002947.4,61.52402354432063,0.4,72.36071970518101,60.812534159227546,89.32298635268933,72.13,0.23071970518101637
NC_002947.4,61.52402354432063,0.42,72.28496959165942,60.630351612315536,89.48642108093574,72.13,0.15496959165942314
NC_002947.4,61.52402354432063,0.44,72.236727589208,60.48460557478593,89.65703483661895,72.13,0.10672758920800618
NC_002947.4,61.52402354432063,0.46,72.20767888307155,60.30242302787393,89.97010057080729,72.13,0.07767888307155602
NC_002947.4,61.52402354432063,0.48,72.05512413868534,60.010930952814725,90.14778325123153,72.13,-0.07487586131465207
NC_002947.4,61.52402354432063,0.5,71.9982471516214,59.86518491528512,90.29953283869196,72.13,-0.13175284837859635
NC_002947.4,61.52402354432063,0.52,71.83655536028121,59.57369284022591,90.45643153526972,72.13,-0.29344463971878554
NC_002947.4,61.52402354432063,0.54,71.67400881057269,59.28220076516669,90.61542745753272,72.13,-0.45599118942730854
NC_002947.4,61.52402354432063,0.56,71.48381394321068,58.936053926033885,90.81976417742841,72.13,-0.6461860567893183
NC_002947.4,61.52402354432063,0.58,71.30666075584617,58.60812534159228,91.02999434069044,72.13,-0.8233392441538285
NC_002947.4,61.52402354432063,0.6,71.09479305740987,58.20732373838587,91.3118033723921,72.13,-1.035206942590122
NC_002929.2,67.72058267495703,0.3,61.81044360779179,52.91479820627802,74.30145611963795,64.68,-2.8695563922082172
NC_002929.2,67.72058267495703,0.32,61.83130948473908,52.80269058295964,74.58432304038006,64.68,-2.8486905152609268
NC_002929.2,67.72058267495703,0.34,61.94631977605797,52.71860986547085,75.08982035928143,64.68,-2.733680223942038
NC_002929.2,67.72058267495703,0.36,61.93548387096774,52.46636771300448,75.57529269277352,64.68,-2.74451612903227
NC_002929.2,67.72058267495703,0.38,62.031198141387314,52.38228699551569,76.03742880390561,64.68,-2.6488018586126927
NC_002929.2,67.72058267495703,0.4,61.91350809818,51.96188340807175,76.57992565055763,64.68,-2.766491901820004
