acc,gc_pct,target,n_no_p2,tp_no_p2,fp_no_p2,tpfrac_no_p2,n_p2,tp_p2,fp_p2,tpfrac_p2
NC_002947.4,61.5,2000,761,602,159,0.791,381,365,16,0.958
NC_002947.4,61.5,4000,1291,980,311,0.759,646,606,40,0.938
NC_002947.4,61.5,6000,1654,1163,491,0.703,827,754,73,0.912
NC_002947.4,61.5,8000,1972,1259,713,0.638,986,879,107,0.891
NC_002929.2,67.7,2000,341,234,107,0.686,171,141,30,0.825
NC_002929.2,67.7,4000,639,483,156,0.756,320,284,36,0.887
NC_002929.2,67.7,6000,726,527,199,0.726,363,322,41,0.887
NC_002929.2,67.7,8000,791,535,256,0.676,396,351,45,0.886
NC_003143.1,47.6,2000,1322,1185,137,0.896,661,622,39,0.941
NC_003143.1,47.6,4000,2099,1865,234,0.889,1050,982,68,0.935
NC_003143.1,47.6,6000,2293,1957,336,0.853,1147,1071,76,0.934
NC_003143.1,47.6,8000,2293,1957,336,0.853,1147,1071,76,0.934
NC_003116.1,51.8,2000,839,671,168,0.8,420,383,37,0.912
NC_003116.1,51.8,4000,1148,780,368,0.679,574,512,62,0.892
NC_003116.1,51.8,6000,1148,780,368,0.679,574,512,62,0.892
NC_003116.1,51.8,8000,1148,780,368,0.679,574,512,62,0.892
NC_004757.1,50.7,2000,1048,929,119,0.886,524,489,35,0.933
NC_004757.1,50.7,4000,1387,1154,233,0.832,694,641,53,0.924
NC_004757.1,50.7,6000,1452,1169,283,0.805,726,671,55,0.924
NC_004757.1,50.7,8000,1452,1169,283,0.805,726,671,55,0.924
NC_008497.1,46.2,2000,1078,946,132,0.878,539,507,32,0.941
NC_008497.1,46.2,4000,1186,1004,182,0.847,593,557,36,0.939
NC_008497.1,46.2,6000,1186,1004,182,0.847,593,557,36,0.939
NC_008497.1,46.2,8000,1186,1004,182,0.847,593,557,36,0.939
NC_004350.2,36.8,2000,1103,1005,98,0.911,553,534,19,0.966
NC_004350.2,36.8,4000,1103,1005,98,0.911,553,534,19,0.966
NC_004350.2,36.8,6000,1103,1005,98,0.911,553,534,19,0.966
NC_004350.2,36.8,8000,1103,1005,98,0.911,553,534,19,0.966
NC_006270.3,46.2,2000,1146,1001,145,0.873,573,537,36,0.937
NC_006270.3,46.2,4000,1828,1559,269,0.853,914,851,63,0.931
NC_006270.3,46.2,6000,2136,1718,418,0.804,1068,978,90,0.916
NC_006270.3,46.2,8000,2143,1719,424,0.802,1072,982,90,0.916
NC_006274.1,35.4,2000,1299,1162,137,0.895,650,602,48,0.926
NC_006274.1,35.4,4000,2419,2170,249,0.897,1210,1126,84,0.931
NC_006274.1,35.4,6000,2936,2550,386,0.869,1468,1358,110,0.925
NC_006274.1,35.4,8000,2936,2550,386,0.869,1468,1358,110,0.925
NC_003030.1,30.9,2000,1271,1157,114,0.91,636,608,28,0.956
NC_003030.1,30.9,4000,2139,1880,259,0.879,1070,1026,44,0.959
NC_003030.1,30.9,6000,2139,1880,259,0.879,1070,1026,44,0.959
NC_003030.1,30.9,8000,2139,1880,259,0.879,1070,1026,44,0.959
NC_003155.5,70.7,2000,310,207,103,0.668,155,137,18,0.884
NC_003155.5,70.7,4000,504,351,153,0.696,252,225,27,0.893
NC_003155.5,70.7,6000,701,497,204,0.709,351,309,42,0.88
NC_003155.5,70.7,8000,819,582,237,0.711,410,360,50,0.878
NC_003450.3,53.8,2000,940,833,107,0.886,471,440,31,0.934
NC_003450.3,53.8,4000,1344,1058,286,0.787,672,627,45,0.933
NC_003450.3,53.8,6000,1586,1097,489,0.692,793,733,60,0.924
NC_003450.3,53.8,8000,1586,1097,489,0.692,793,733,60,0.924
NC_002677.1,57.8,2000,422,321,101,0.761,211,190,21,0.9
NC_002677.1,57.8,4000,652,370,282,0.567,326,285,41,0.874
NC_002677.1,57.8,6000,808,395,413,0.489,404,332,72,0.822
NC_002677.1,57.8,8000,808,395,413,0.489,404,332,72,0.822
NC_008268.1,67.5,2000,372,280,92,0.753,186,170,16,0.914
NC_008268.1,67.5,4000,895,542,353,0.606,448,382,66,0.853
NC_008268.1,67.5,6000,1142,676,466,0.592,571,479,92,0.839
NC_008268.1,67.5,8000,940,699,241,0.744,470,420,50,0.894
NC_006958.1,53.8,2000,936,831,105,0.888,468,434,34,0.927
NC_006958.1,53.8,4000,1334,1037,297,0.777,667,618,49,0.927
NC_006958.1,53.8,6000,1557,1074,483,0.69,779,721,58,0.926
NC_006958.1,53.8,8000,1557,1074,483,0.69,779,721,58,0.926
NC_008818.1,53.7,2000,552,427,125,0.774,276,255,21,0.924
NC_008818.1,53.7,4000,630,457,173,0.725,315,286,29,0.908
NC_008818.1,53.7,6000,630,457,173,0.725,315,286,29,0.908
NC_008818.1,53.7,8000,630,457,173,0.725,315,286,29,0.908
NC_015948.1,63.7,2000,827,716,111,0.866,414,390,24,0.942
NC_015948.1,63.7,4000,1108,933,175,0.842,554,521,33,0.94
NC_015948.1,63.7,6000,1320,987,333,0.748,660,611,49,0.926
NC_015948.1,63.7,8000,1356,988,368,0.729,678,626,52,0.923
NC_014408.1,48.6,2000,816,704,112,0.863,408,382,26,0.936
NC_014408.1,48.6,4000,918,750,168,0.817,459,429,30,0.935
NC_014408.1,48.6,6000,918,750,168,0.817,459,429,30,0.935
NC_014408.1,48.6,8000,918,750,168,0.817,459,429,30,0.935
NC_019977.1,42.6,2000,1088,981,107,0.902,544,509,35,0.936
NC_019977.1,42.6,4000,1341,1149,192,0.857,671,628,43,0.936
NC_019977.1,42.6,6000,1341,1149,192,0.857,671,628,43,0.936
NC_019977.1,42.6,8000,1341,1149,192,0.857,671,628,43,0.936
NC_007644.1,55.8,2000,820,705,115,0.86,410,377,33,0.92
NC_007644.1,55.8,4000,1102,877,225,0.796,551,505,46,0.917
NC_007644.1,55.8,6000,923,745,178,0.807,462,424,38,0.918
NC_007644.1,55.8,8000,923,745,178,0.807,462,424,38,0.918
