accession,source,phylum,gc_pct,n_train,sd_prev_gt0,sd_prev_gt1,sd_prev_gt2,zero_rbs_ml1,var_codon,var_imm,var_rbs,var_length,var_start,adp_codon,adp_imm,adp_rbs,adp_length,adp_start,f1_pct
NC_002947.4,holdout,Proteobacteria,61.5,761,0.97,0.97,0.97,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_002929.2,holdout,Proteobacteria,67.7,558,0.912,0.912,0.912,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_003143.1,holdout,Proteobacteria,47.6,1322,0.979,0.979,0.979,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_003116.1,holdout,Proteobacteria,51.8,839,0.939,0.939,0.939,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_004757.1,holdout,Proteobacteria,50.7,1048,0.94,0.94,0.94,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_008497.1,holdout,Firmicutes,46.2,1078,0.985,0.985,0.985,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_004350.2,holdout,Firmicutes,36.8,1103,0.975,0.975,0.975,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_006270.3,holdout,Firmicutes,46.2,1146,0.983,0.983,0.983,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_006274.1,holdout,Firmicutes,35.4,1299,0.98,0.98,0.98,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_003030.1,holdout,Firmicutes,30.9,1271,0.996,0.996,0.996,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_003155.5,holdout,Actinobacteria,70.7,486,0.922,0.922,0.922,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_003450.3,holdout,Actinobacteria,53.8,940,0.981,0.981,0.981,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_002677.1,holdout,Actinobacteria,57.8,580,0.957,0.957,0.957,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_008268.1,holdout,Actinobacteria,67.5,521,0.942,0.942,0.942,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_006958.1,holdout,Actinobacteria,53.8,936,0.982,0.982,0.982,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_008818.1,holdout,Archaea,53.7,552,0.967,0.967,0.967,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_015948.1,holdout,Archaea,63.7,827,0.937,0.937,0.937,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_014408.1,holdout,Archaea,48.6,816,0.974,0.974,0.974,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_019977.1,holdout,Archaea,42.6,1088,0.961,0.961,0.961,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_007644.1,holdout,Archaea,55.8,820,0.978,0.978,0.978,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_009648.1,catalog,Proteobacteria,57.5,1095,0.97,0.97,0.97,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,84.3
NC_012759.1,catalog,Proteobacteria,50.8,1212,0.981,0.981,0.981,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_010067.1,catalog,Proteobacteria,51.4,1243,0.978,0.978,0.978,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_011415.1,catalog,Proteobacteria,50.8,1252,0.98,0.98,0.98,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_011294.1,catalog,Proteobacteria,52.2,1255,0.971,0.971,0.971,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_002737.2,catalog,Firmicutes,38.5,1018,0.983,0.983,0.983,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,85.34
NC_017195.1,catalog,Firmicutes,43.9,1182,0.975,0.975,0.975,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_016047.1,catalog,Firmicutes,43.8,1169,0.981,0.981,0.981,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_009641.1,catalog,Firmicutes,32.9,1236,0.99,0.99,0.99,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_020291.1,catalog,Firmicutes,29.5,1418,0.996,0.996,0.996,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,87.3
NC_019673.1,catalog,Actinobacteria,72.2,265,0.943,0.943,0.943,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_000962.3,catalog,Actinobacteria,65.6,654,0.965,0.965,0.965,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,63.11
NC_018143.2,catalog,Actinobacteria,65.6,668,0.96,0.96,0.96,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_020133.1,catalog,Actinobacteria,65.6,671,0.952,0.952,0.952,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,54.21
NC_003888.3,catalog,Actinobacteria,72.1,370,0.916,0.916,0.916,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,63.72
NC_010085.1,catalog,Archaea,34.2,910,0.938,0.938,0.938,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,73.44
NC_009975.1,catalog,Archaea,33.4,1019,0.98,0.98,0.98,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,83.47
NC_013156.1,catalog,Archaea,32.2,849,0.982,0.982,0.982,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_009073.1,catalog,Archaea,57.2,626,0.89,0.89,0.89,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
NC_016051.1,catalog,Archaea,54.8,660,0.944,0.944,0.944,False,1.0,1.0,1.0,1.0,1.0,2.843,1.516,0.957,3.718,0.413,
