acc,label,phylum,f1,genome_gc,cls,rbs_score,rbs_spacing,length,is_atg,is_forward,gc1,gc2,gc3,gc12,abs_bias,gc_orf,nc,upstream_stops,upstream_gc
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,-5.0,0.0,1566.0,1,1,0.5938697318007663,0.42337164750957856,0.5919540229885057,0.5086206896551724,0.08333333333333337,0.5363984674329502,3.0415468858992223,0,0.5
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,13.966666666666667,0.0,3750.0,1,1,0.5992,0.4072,0.5592,0.5032,0.05600000000000005,0.5218666666666667,3.3027135855103342,5,0.32
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.9,0.0,699.0,1,1,0.6351931330472103,0.4678111587982833,0.630901287553648,0.5515021459227467,0.07939914163090134,0.5779685264663805,2.812831735394704,3,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,14.3,0.0,1011.0,1,1,0.6468842729970327,0.49258160237388726,0.658753709198813,0.56973293768546,0.08902077151335308,0.599406528189911,2.985041586183944,3,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,14.3,0.0,822.0,1,1,0.6167883211678832,0.4416058394160584,0.6605839416058394,0.5291970802919708,0.13138686131386867,0.572992700729927,2.959222156731426,3,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,14.3,0.0,690.0,1,1,0.5391304347826087,0.3652173913043478,0.5652173913043478,0.45217391304347826,0.11304347826086952,0.48985507246376814,3.0127809208316765,7,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,13.05,0.0,6312.0,1,1,0.6905893536121673,0.4976235741444867,0.689638783269962,0.594106463878327,0.09553231939163498,0.6259505703422054,2.8796340597995744,4,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.514285714285714,0.0,702.0,1,1,0.5299145299145299,0.45726495726495725,0.7051282051282052,0.4935897435897436,0.21153846153846156,0.5641025641025641,2.7744659503539384,3,0.44
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.728571428571428,0.0,6351.0,1,1,0.6660368445914029,0.49126121870571565,0.6882380727444497,0.5786490316485593,0.1095890410958904,0.6151787120138561,3.023005147521003,9,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.05,0.0,1182.0,1,1,0.6573604060913706,0.41116751269035534,0.7106598984771574,0.5342639593908629,0.17639593908629447,0.5930626057529611,2.775898830383406,2,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,13.966666666666667,0.0,1683.0,1,1,0.6506238859180036,0.44028520499108736,0.7237076648841355,0.5454545454545454,0.1782531194295901,0.6048722519310754,2.8310446420637905,6,0.64
