acc,label,f1,genome_gc,threshold,n_post,tp_ret,fp_rem,n_tp,n_fp
NC_002677.1,M. leprae,41.74,0.578,0.0,580,100.0,0.0,384,196
NC_002677.1,M. leprae,41.74,0.578,0.02,545,97.4,12.76,384,196
NC_002677.1,M. leprae,41.74,0.578,0.05,487,92.19,32.14,384,196
NC_002677.1,M. leprae,41.74,0.578,0.08,407,80.73,50.51,384,196
NC_002677.1,M. leprae,41.74,0.578,0.1,336,69.27,64.29,384,196
NC_002677.1,M. leprae,41.74,0.578,0.12,263,54.43,72.45,384,196
NC_002677.1,M. leprae,41.74,0.578,0.15,157,32.81,84.18,384,196
NC_002677.1,M. leprae,41.74,0.578,0.2,51,10.68,94.9,384,196
NC_002929.2,B. pertussis,60.06,0.6772,0.0,558,100.0,0.0,264,294
NC_002929.2,B. pertussis,60.06,0.6772,0.02,499,98.11,18.37,264,294
NC_002929.2,B. pertussis,60.06,0.6772,0.05,431,96.21,39.8,264,294
NC_002929.2,B. pertussis,60.06,0.6772,0.08,374,93.56,56.8,264,294
NC_002929.2,B. pertussis,60.06,0.6772,0.1,352,91.29,62.24,264,294
NC_002929.2,B. pertussis,60.06,0.6772,0.12,338,89.39,65.31,264,294
NC_002929.2,B. pertussis,60.06,0.6772,0.15,316,86.36,70.07,264,294
NC_002929.2,B. pertussis,60.06,0.6772,0.2,284,80.3,75.51,264,294
NC_008818.1,Hyperthermus,60.88,0.5374,0.0,552,100.0,0.0,427,125
NC_008818.1,Hyperthermus,60.88,0.5374,0.02,459,82.2,13.6,427,125
NC_008818.1,Hyperthermus,60.88,0.5374,0.05,339,62.53,42.4,427,125
NC_008818.1,Hyperthermus,60.88,0.5374,0.08,226,43.33,67.2,427,125
NC_008818.1,Hyperthermus,60.88,0.5374,0.1,172,33.26,76.0,427,125
NC_008818.1,Hyperthermus,60.88,0.5374,0.12,133,26.0,82.4,427,125
NC_008818.1,Hyperthermus,60.88,0.5374,0.15,75,14.75,90.4,427,125
NC_008818.1,Hyperthermus,60.88,0.5374,0.2,24,5.15,98.4,427,125
NC_008268.1,Rhodococcus,65.34,0.6752,0.0,521,100.0,0.0,299,222
NC_008268.1,Rhodococcus,65.34,0.6752,0.02,487,98.66,13.51,299,222
NC_008268.1,Rhodococcus,65.34,0.6752,0.05,433,96.66,35.14,299,222
NC_008268.1,Rhodococcus,65.34,0.6752,0.08,395,94.98,50.0,299,222
NC_008268.1,Rhodococcus,65.34,0.6752,0.1,383,94.31,54.5,299,222
NC_008268.1,Rhodococcus,65.34,0.6752,0.12,377,94.31,57.21,299,222
NC_008268.1,Rhodococcus,65.34,0.6752,0.15,354,92.64,65.32,299,222
NC_008268.1,Rhodococcus,65.34,0.6752,0.2,305,84.95,77.03,299,222
NC_003155.5,S. avermitilis,66.34,0.7072,0.0,486,100.0,0.0,233,253
NC_003155.5,S. avermitilis,66.34,0.7072,0.02,432,98.71,20.16,233,253
NC_003155.5,S. avermitilis,66.34,0.7072,0.05,389,97.42,35.97,233,253
NC_003155.5,S. avermitilis,66.34,0.7072,0.08,345,93.99,50.2,233,253
NC_003155.5,S. avermitilis,66.34,0.7072,0.1,328,92.7,55.73,233,253
NC_003155.5,S. avermitilis,66.34,0.7072,0.12,309,90.56,61.26,233,253
NC_003155.5,S. avermitilis,66.34,0.7072,0.15,287,87.55,67.19,233,253
NC_003155.5,S. avermitilis,66.34,0.7072,0.2,248,81.55,77.08,233,253
NC_003030.1,C. acetobutyl.,88.01,0.3093,0.0,1271,100.0,0.0,1157,114
NC_003030.1,C. acetobutyl.,88.01,0.3093,0.02,1264,99.48,0.88,1157,114
NC_003030.1,C. acetobutyl.,88.01,0.3093,0.05,1241,97.84,4.39,1157,114
NC_003030.1,C. acetobutyl.,88.01,0.3093,0.08,1160,91.79,14.04,1157,114
NC_003030.1,C. acetobutyl.,88.01,0.3093,0.1,1080,85.39,19.3,1157,114
NC_003030.1,C. acetobutyl.,88.01,0.3093,0.12,948,75.54,35.09,1157,114
NC_003030.1,C. acetobutyl.,88.01,0.3093,0.15,714,56.78,50.0,1157,114
NC_003030.1,C. acetobutyl.,88.01,0.3093,0.2,320,26.45,87.72,1157,114
NC_004350.2,S. agalactiae,87.08,0.3683,0.0,1103,100.0,0.0,1005,98
NC_004350.2,S. agalactiae,87.08,0.3683,0.02,1055,95.62,4.08,1005,98
NC_004350.2,S. agalactiae,87.08,0.3683,0.05,976,88.76,14.29,1005,98
NC_004350.2,S. agalactiae,87.08,0.3683,0.08,833,76.82,37.76,1005,98
NC_004350.2,S. agalactiae,87.08,0.3683,0.1,719,66.27,45.92,1005,98
NC_004350.2,S. agalactiae,87.08,0.3683,0.12,590,54.53,57.14,1005,98
NC_004350.2,S. agalactiae,87.08,0.3683,0.15,394,36.22,69.39,1005,98
NC_004350.2,S. agalactiae,87.08,0.3683,0.2,143,13.03,87.76,1005,98
