acc,gc_pct,n_groups,n_tp,rel_rbs_std,collapsed,auc_rel_rbs,auc_raw_rbs,auc_gated
NC_002947.4,61.5,10181,4136,0.0,True,0.5,0.8221,0.5
NC_002929.2,67.7,7576,2824,0.0,True,0.5,0.7894,0.5
NC_003143.1,47.6,5344,3714,0.0,True,0.5,0.8669,0.5
NC_003116.1,51.8,4519,1725,0.0,True,0.5,0.7861,0.5
NC_004757.1,50.7,5159,2387,0.0,True,0.5,0.8391,0.5
NC_008497.1,46.2,2372,2078,0.0,True,0.5,0.9344,0.5
NC_004350.2,36.8,1979,1771,0.0,True,0.5,0.8991,0.5
NC_006270.3,46.2,6214,3861,0.0,True,0.5,0.9343,0.5
NC_006274.1,35.4,5527,4783,0.0,True,0.5,0.9317,0.5
NC_003030.1,30.9,3768,3448,0.0,True,0.5,0.9367,0.5
NC_003155.5,70.7,20154,6377,0.00996,True,0.5,0.7657,0.5
NC_003450.3,53.8,5515,2470,0.0,True,0.5,0.7971,0.5
NC_002677.1,57.8,6167,1745,0.01273,True,0.5001,0.8086,0.5
NC_008268.1,67.5,16312,5514,0.0,True,0.5,0.7985,0.5
NC_006958.1,53.8,5382,2412,0.0,True,0.5,0.7955,0.5
NC_008818.1,53.7,2388,1600,0.0,True,0.5,0.8329,0.5
NC_015948.1,63.7,7857,2978,0.01595,True,0.5003,0.7361,0.5
NC_014408.1,48.6,2983,1630,0.0,True,0.5,0.8724,0.5
NC_019977.1,42.6,3633,2137,0.0,True,0.5,0.8685,0.5
NC_007644.1,55.8,4872,2389,0.01433,True,0.5002,0.8819,0.5
