acc,label,phylum,f1,cls,n_overlap,grp_size,is_longest,length
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,70,15,0,1565
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,189,103,0,3749
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,28,18,0,698
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,66,33,0,1010
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,42,9,0,821
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,40,18,0,689
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,419,290,0,6311
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,44,18,0,701
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,368,185,0,6350
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,71,28,0,1181
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,105,51,0,1682
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,38,22,0,878
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,31,11,0,602
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,24,9,0,452
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,101,49,0,1877
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,68,28,0,1178
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,110,54,0,1589
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,29,14,0,443
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,41,22,0,803
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,24,10,0,476
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,36,16,0,644
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,41,17,0,755
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,85,41,0,1292
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,31,16,0,470
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,91,48,0,1685
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,32,14,0,503
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,30,14,0,536
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,72,27,0,1088
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,72,41,0,1406
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,26,8,0,482
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,21,5,0,455
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,31,13,0,419
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,53,18,0,881
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,18,12,0,431
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,64,32,0,1259
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,45,20,0,791
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,67,40,0,1178
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,17,6,0,509
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,140,54,0,2621
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,62,21,0,755
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,90,37,0,1457
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,29,5,0,482
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,91,45,0,1310
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,57,30,0,1157
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,87,52,0,1475
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,56,29,0,818
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,37,15,0,617
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,93,32,0,1322
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,188,108,0,3620
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,39,20,0,995
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,36,8,0,818
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,77,30,0,1085
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,90,30,0,1445
