acc,gc_pct,n_tp,n_fp,n_train_a,tp_frac_a,n_coding_p2,tp_frac_coding,n_rejected,tp_frac_rejected,auc_a,auc_b,auc_c,delta_b,delta_c,delta_bc
NC_002947.4,61.5,52931,198343,761,0.791,1158,0.853,496,0.353,0.8132,0.8169,0.8207,0.0037,0.0075,0.0038
NC_002929.2,67.7,36323,131123,341,0.686,508,0.858,218,0.417,0.8165,0.8212,0.8039,0.0047,-0.0126,-0.0173
NC_003143.1,47.6,46221,121529,1322,0.896,1605,0.918,688,0.703,0.7954,0.7953,0.7816,-0.0001,-0.0138,-0.0136
NC_003116.1,51.8,18199,73177,839,0.8,803,0.837,345,0.313,0.8088,0.8077,0.8139,-0.0011,0.0052,0.0063
NC_004757.1,50.7,22558,91260,1048,0.886,1016,0.912,436,0.555,0.8147,0.8138,0.799,-0.0009,-0.0157,-0.0148
NC_008497.1,46.2,19588,58479,1078,0.878,830,0.922,356,0.671,0.7781,0.7773,0.7688,-0.0008,-0.0093,-0.0085
NC_004350.2,36.8,15090,38907,1103,0.911,772,0.96,331,0.798,0.812,0.8106,0.7959,-0.0014,-0.0161,-0.0148
NC_006270.3,46.2,36512,110589,1146,0.873,1495,0.894,641,0.594,0.8238,0.8232,0.8079,-0.0006,-0.0159,-0.0153
NC_006274.1,35.4,34702,81702,1299,0.895,2055,0.918,881,0.753,0.8006,0.8004,0.793,-0.0002,-0.0076,-0.0075
NC_003030.1,30.9,23925,45214,1271,0.91,1497,0.942,642,0.732,0.7682,0.768,0.7619,-0.0002,-0.0063,-0.0061
NC_003155.5,70.7,59424,305600,310,0.668,491,0.843,210,0.395,0.8185,0.8252,0.8272,0.0067,0.0087,0.002
NC_003450.3,53.8,28013,108363,940,0.886,1110,0.896,476,0.214,0.8298,0.8293,0.8326,-0.0005,0.0028,0.0033
NC_002677.1,57.8,24267,110461,422,0.761,565,0.66,243,0.091,0.8491,0.848,0.8492,-0.0011,0.0001,0.0012
NC_008268.1,67.5,60753,255437,372,0.753,799,0.755,343,0.213,0.8353,0.8317,0.8298,-0.0036,-0.0055,-0.0019
NC_006958.1,53.8,27849,107459,936,0.888,1090,0.895,467,0.21,0.8308,0.8305,0.8351,-0.0004,0.0043,0.0047
NC_008818.1,53.7,12148,35444,552,0.774,441,0.871,189,0.386,0.8384,0.839,0.8349,0.0006,-0.0035,-0.0041
NC_015948.1,63.7,20327,92920,827,0.866,924,0.89,396,0.417,0.8533,0.8526,0.8552,-0.0006,0.0019,0.0025
NC_014408.1,48.6,13393,44704,816,0.863,642,0.917,276,0.583,0.8392,0.8388,0.8351,-0.0004,-0.0041,-0.0037
NC_019977.1,42.6,22755,61580,1088,0.902,939,0.927,402,0.694,0.8271,0.8246,0.8053,-0.0024,-0.0218,-0.0193
NC_007644.1,55.8,20435,64998,820,0.86,646,0.895,277,0.603,0.7987,0.7943,0.7801,-0.0044,-0.0186,-0.0142
