acc,sd_prev,gc_pct,auc_rbs_dom,auc_rbs_dom_x_sd,delta
NC_002947.4,0.44,61.5,0.8526,0.8526,0.0
NC_002929.2,0.215,67.7,0.837,0.837,-0.0
NC_003143.1,0.495,47.6,0.9002,0.9002,0.0
NC_003116.1,0.395,51.8,0.8377,0.8377,0.0
NC_004757.1,0.3,50.7,0.8759,0.8759,0.0
NC_008497.1,0.71,46.2,0.9179,0.9179,0.0
NC_004350.2,0.645,36.8,0.9056,0.9056,0.0
NC_006270.3,0.725,46.2,0.9138,0.9138,0.0
NC_006274.1,0.77,35.4,0.9099,0.9099,0.0
NC_003030.1,0.745,30.9,0.9117,0.9117,0.0
NC_003155.5,0.295,70.7,0.8411,0.8411,0.0
NC_003450.3,0.485,53.8,0.8841,0.8841,0.0
NC_002677.1,0.29,57.8,0.8497,0.8497,0.0
NC_008268.1,0.32,67.5,0.8704,0.8704,0.0
NC_006958.1,0.475,53.8,0.8906,0.8906,0.0
NC_008818.1,0.345,53.7,0.8934,0.8934,0.0
NC_015948.1,0.2,63.7,0.8342,0.8342,0.0
NC_014408.1,0.47,48.6,0.8794,0.8794,0.0
NC_019977.1,0.47,42.6,0.8869,0.8869,0.0
NC_007644.1,0.655,55.8,0.8838,0.8838,0.0
