acc,phylum,gc_pct,n_real_groups,tp,fn,fp,tn,sensitivity,precision
NC_002947.4,Proteobacteria,0.6152402354432063,3918,3807,111,2843,3420,97.16692189892802,57.24812030075188
NC_002929.2,Proteobacteria,0.6772058267495703,2522,2506,16,3251,1803,99.36558287073751,43.529616119506684
NC_003143.1,Proteobacteria,0.4763611023248458,3586,3531,55,877,881,98.46625766871166,80.1043557168784
NC_003116.1,Proteobacteria,0.5180914170717348,1608,1504,104,1254,1657,93.53233830845771,54.53226976069616
NC_004757.1,Proteobacteria,0.5071818367380322,2273,2230,43,1734,1152,98.10822701275846,56.25630676084763
NC_008497.1,Firmicutes,0.4621887029617409,2036,2025,11,143,193,99.45972495088408,93.40405904059041
NC_004350.2,Firmicutes,0.3682865821414956,1736,1725,11,96,147,99.36635944700461,94.72817133443164
NC_006270.3,Firmicutes,0.4619439174517483,3749,3734,15,1296,1169,99.5998933048813,74.23459244532803
NC_006274.1,Firmicutes,0.35351896795175924,4704,4687,17,397,426,99.63860544217687,92.19118804091266
NC_003030.1,Firmicutes,0.30925783073831226,3396,3385,11,204,168,99.67608951707892,94.31596544998607
NC_003155.5,Actinobacteria,0.7071655449693804,6019,5959,60,6831,7304,99.00315667054328,46.59108678655199
NC_003450.3,Actinobacteria,0.5381025146242477,2395,2349,46,1237,1883,98.07933194154488,65.5047406581149
NC_002677.1,Actinobacteria,0.5779674640773538,1558,1470,88,1694,2915,94.35173299101412,46.46017699115044
NC_008268.1,Actinobacteria,0.6751583167462442,5201,5161,40,5344,5767,99.2309171313209,49.128986197049024
NC_006958.1,Actinobacteria,0.5384176722388955,2335,2291,44,1109,1938,98.11563169164883,67.38235294117646
NC_008818.1,Archaea,0.5373673719966194,1548,1530,18,357,483,98.83720930232558,81.08108108108108
NC_015948.1,Archaea,0.6369196643642595,2878,2864,14,2860,2119,99.5135510771369,50.03494060097834
NC_014408.1,Archaea,0.48649442250695085,1589,1581,8,889,505,99.49653870358716,64.0080971659919
NC_019977.1,Archaea,0.42624121826140515,2081,2062,19,898,654,99.08697741470446,69.66216216216216
NC_007644.1,Archaea,0.5579153707569736,2269,2244,25,1747,856,98.89819303658,56.22650964670509
