accession,genome_label,phylum,f1_pct,classification,rbs_score
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,-5.0
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,13.966666666666667
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,9.9
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,14.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,14.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,14.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,13.05
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.514285714285714
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.728571428571428
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,11.05
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,13.966666666666667
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,14.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,-5.0
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,12.228571428571428
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,9.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,9.9
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,14.014285714285714
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,12.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,9.05
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,7.728571428571429
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,8.133333333333333
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,11.05
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,14.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,-5.0
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,11.8
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.8
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.4
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,11.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,15.8
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.4
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,9.0
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.8
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.466666666666667
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,10.9
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,10.8
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,9.0
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.8
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,10.8
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,11.8
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,14.05
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.466666666666667
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,12.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,-5.0
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,10.9
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.55
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12.466666666666667
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,11.3
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,-5.0
