type,acc,name,genome_cat,correct_rank,gap_01,gap_to_correct,prob_keep,clf_flipped,d_rbs,d_anti_sd,d_codon,d_imm,d_length,d_f4,d_baseline,gc_pct,d_len_zscore
B2,NC_002677.1,M.leprae,problem,1,0.0715125465146329,0.0715125465146329,0.2302568981921979,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.1785973764169917,0.1785973764169917,0.6141552511415522,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.013717492208659365,0.013717492208659365,0.9991835994194485,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.28601103299989816,0.28601103299989816,0.7785817655571635,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.1309386454063617,0.1309386454063617,0.9808187804179788,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.08078877737628076,0.08078877737628076,0.013297872340425532,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.06659469829144271,0.06659469829144271,0.12403100775193801,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.00011121126352442445,0.00011121126352442445,0.7785817655571635,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.05990352164933199,0.22430449644952688,0.17354497354497356,True,0.4776217133801087,0.03846153846153849,0.03145820786140252,0.017125116241513583,-51.0,0.0,0.22430449644952688,0.5779674640773538,-0.6453720935073051
B2,NC_002677.1,M.leprae,problem,1,0.07577267186529468,0.07577267186529468,0.9280303030303029,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.14124554001973877,0.14124554001973877,0.9721784776902888,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.9189535080440887,0.9189535080440887,0.9997844827586206,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.044581088145662306,0.044581088145662306,0.9389140271493213,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.06890453648314221,0.06890453648314221,0.7785817655571635,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.024364449682654055,0.024364449682654055,0.452755905511811,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.02704390675996393,0.02704390675996393,0.2302568981921979,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.1284797875094732,0.1284797875094732,0.6975881261595547,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.20537499537494242,0.4022139680202521,0.955984555984556,False,-0.04264479583750935,-0.038461538461538436,-0.11116520392977791,-0.07742492508107879,75.0,0.0,0.4022139680202521,0.5779674640773538,0.9490766080989794
B2,NC_002677.1,M.leprae,problem,1,0.247152571907705,0.247152571907705,0.9913700107874865,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.14725644623011291,0.14725644623011291,0.955984555984556,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.0022924053356412344,0.2734859956727185,0.9389140271493213,False,0.07676063250751786,0.07692307692307698,-0.013807341734688006,-0.025076485672641757,39.0,0.0,0.2734859956727185,0.5779674640773538,0.493519836211469
B2,NC_002677.1,M.leprae,problem,1,0.11184740201553112,0.11184740201553112,0.002785515320334262,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.3326597269021594,0.3326597269021594,0.5525210084033613,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.046973878266532765,0.046973878266532765,0.38977072310405636,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.2353689778738115,0.2353689778738115,0.9389140271493213,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.23697431509040356,0.23697431509040356,0.9861248761149654,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.16453667848096742,0.16453667848096742,0.9913700107874865,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.11046306295672537,0.11046306295672537,0.6079545454545454,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.0616356156877913,0.0616356156877913,0.2863157894736842,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.12356262629294434,0.17656425673099463,0.8832807570977917,False,0.1791081425175407,-0.038461538461538436,0.013569479507122395,0.05671524127628014,-42.0,0.7142857142857143,0.17656425673099463,0.5779674640773538,-0.531482900535428
B2,NC_002677.1,M.leprae,problem,1,0.02645392404289737,0.02645392404289737,0.2302568981921979,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.28257934830978115,0.3953645699917132,0.5525210084033613,False,-0.4179189992075952,-0.038461538461538436,0.0009115204338567828,-0.008415209058705297,-39.0,-0.5714285714285714,0.3953645699917132,0.5779674640773538,-0.4935198362114761
B2,NC_002677.1,M.leprae,problem,1,0.033860455920337706,0.033860455920337706,0.8989547038327527,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.3637482774029772,0.3637482774029772,0.10052910052910052,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.30170360479882063,0.30170360479882063,0.9991835994194485,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.055114240067943854,0.3013091029454813,0.452755905511811,False,0.15920723779336987,0.038461538461538436,0.05512454616106477,0.12504475632069623,-84.0,0.0,0.3013091029454813,0.5779674640773538,-1.0629658010708578
B2,NC_002677.1,M.leprae,problem,1,0.14838956444718931,0.14838956444718931,0.3169642857142857,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.22104742133390687,0.22104742133390687,0.9721784776902888,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.10466367866259318,0.10466367866259318,0.013297872340425532,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.2590317005671485,0.2590317005671485,0.9808187804179788,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.03596876610479516,0.03596876610479516,0.09019607843137255,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.04380927042673477,0.04380927042673477,0.17354497354497356,True,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.03710924971036533,0.4436457641860798,0.9808187804179788,False,0.017057918335004252,0.11538461538461536,-0.019419658765175596,-0.03665536347122722,42.0,0.0,0.4436457641860798,0.5779674640773538,0.5314829005354289
B2,NC_002677.1,M.leprae,problem,1,0.23019379754206915,0.23019379754206915,0.7489878542510121,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.47183419501280266,0.47183419501280266,0.06521739130434782,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.10257569175883319,0.10257569175883319,0.8507936507936508,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.12102804941339329,0.12102804941339329,0.6363636363636365,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.10552473964073883,0.1916926204324696,0.8231827111984283,False,0.059702714172513605,-0.3076923076923077,0.006557175139295102,0.042129696216618995,6.0,0.5714285714285714,0.1916926204324696,0.5779674640773538,0.07592612864791892
B4r2,NC_002677.1,M.leprae,problem,2,0.41601543614218883,0.7481277710501608,0.9147982062780269,False,0.9870848743188914,0.03846153846153849,0.06784602750505919,0.07331065582220697,-54.0,0.0,0.7481277710501608,0.5779674640773538,-0.6833351578312659
B2,NC_002677.1,M.leprae,problem,1,0.002307222025404343,0.002307222025404343,0.452755905511811,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.4575698815038365,0.4575698815038365,0.9721784776902888,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.19853639980704685,0.19853639980704685,0.6975881261595547,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.06720310632135096,0.06720310632135096,0.2993630573248407,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.3564710824492643,0.3564710824492643,0.9997844827586206,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.12199611640577501,0.12199611640577501,0.5842696629213482,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.3591435192915675,0.3591435192915675,0.999468085106383,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.11956662576216459,0.11956662576216459,0.774390243902439,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.3438967942227027,0.3438967942227027,0.3169642857142857,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.09691517418516327,0.09691517418516327,1.0,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.34473009970426105,0.34473009970426105,0.3169642857142857,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.10350492373749276,0.10350492373749276,0.17354497354497356,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.3098155514040464,0.3098155514040464,0.11922141119221409,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.007949101154878235,0.007949101154878235,0.9389140271493213,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.18243391015954913,0.18243391015954913,0.17354497354497356,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.6569224781873348,0.6569224781873348,0.02761904761904762,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.1543601453929444,0.1543601453929444,0.09019607843137255,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.14775493022646558,0.14775493022646558,0.541850220264317,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.2302574526149952,0.2302574526149952,0.07407407407407407,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.43564585454995,0.43564585454995,0.9913700107874865,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.09668169090149448,0.09668169090149448,0.02761904761904762,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.1255583793595969,0.1255583793595969,0.031746031746031744,True,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.0789656639925429,0.12717425317589814,0.04488330341113106,True,-0.09552434267602183,0.07692307692307693,-0.21321130820593148,-0.13780655749205706,78.0,0.0,0.12717425317589814,0.5779674640773538,0.9870396724229389
B2,NC_002677.1,M.leprae,problem,1,0.11237943627190106,0.11237943627190106,0.06586021505376345,True,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.1828283599676901,0.5387320045105035,0.9721784776902888,False,0.517423522828451,0.07692307692307693,0.07464991796737674,0.0815397243341971,-24.0,0.0,0.5387320045105035,0.5779674640773538,-0.3037045145916739
B4r2,NC_002677.1,M.leprae,problem,2,0.5254919968933187,0.549540536816643,0.6363636363636365,False,1.4567462258093318,-0.038461538461538436,-0.02611602976533156,-0.05349199467355659,15.0,0.0,0.549540536816643,0.5779674640773538,0.18981532161979597
B2,NC_002677.1,M.leprae,problem,1,0.4338100385799635,0.4338100385799635,0.9628787878787879,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.07703119885075793,0.07703119885075793,0.06586021505376345,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.017293709944169677,0.017293709944169677,0.8832807570977917,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.08005309329000099,0.08005309329000099,0.7897091722595079,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.1842581420460121,0.19764477360300603,0.9147982062780269,False,0.29851357086256797,-0.07692307692307687,-0.0019835374698843333,0.014170136556013069,33.0,0.0,0.19764477360300603,0.5779674640773538,0.4175937075635501
B2,NC_002677.1,M.leprae,problem,1,0.0014224729077376708,0.0014224729077376708,0.054673721340388004,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.3953057148853416,0.3953057148853416,0.07407407407407407,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.06303270041787101,0.06303270041787101,0.2302568981921979,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.07864276690184369,0.07864276690184369,0.955984555984556,False,,,,,,,,,
