acc,label,phylum,step,n_cands,n_tp,sens,prec,f1
NC_002929.2,B. pertussis,Proteobacteria,1.ORFs,134062,2939,76.2,21.7,33.8
NC_002929.2,B. pertussis,Proteobacteria,2.Filter1,54238,2770,71.9,37.4,49.2
NC_002929.2,B. pertussis,Proteobacteria,3.LGB,5472,2223,57.7,40.8,47.8
NC_002929.2,B. pertussis,Proteobacteria,4.Starts,5460,2417,62.7,44.5,52.1
NC_002929.2,B. pertussis,Proteobacteria,5.Filter2,5331,2408,62.5,45.4,52.6
NC_002929.2,B. pertussis,Proteobacteria,6.Hybrid,2397,2124,55.1,88.6,67.9
NC_002677.1,M. leprae,Actinobacteria,1.ORFs,112847,2386,81.6,18.0,29.5
NC_002677.1,M. leprae,Actinobacteria,2.Filter1,27518,1725,59.0,42.2,49.2
NC_002677.1,M. leprae,Actinobacteria,3.LGB,2799,1193,40.8,42.7,41.7
NC_002677.1,M. leprae,Actinobacteria,4.Starts,2799,1347,46.1,48.2,47.1
NC_002677.1,M. leprae,Actinobacteria,5.Filter2,2270,1268,43.4,55.9,48.8
NC_002677.1,M. leprae,Actinobacteria,6.Hybrid,1333,1060,36.3,79.5,49.8
NC_008268.1,Rhodococcus,Actinobacteria,1.ORFs,261127,5690,78.9,19.2,30.9
NC_008268.1,Rhodococcus,Actinobacteria,2.Filter1,92448,5384,74.6,36.4,48.9
NC_008268.1,Rhodococcus,Actinobacteria,3.LGB,9617,4265,59.1,44.6,50.8
NC_008268.1,Rhodococcus,Actinobacteria,4.Starts,9602,4805,66.6,50.3,57.3
NC_008268.1,Rhodococcus,Actinobacteria,5.Filter2,9129,4742,65.7,52.2,58.2
NC_008268.1,Rhodococcus,Actinobacteria,6.Hybrid,4572,4196,58.1,91.8,71.2
NC_015948.1,Haloarcula,Archaea,1.ORFs,95980,3060,99.7,17.9,30.4
NC_015948.1,Haloarcula,Archaea,2.Filter1,33470,2924,95.3,37.2,53.5
NC_015948.1,Haloarcula,Archaea,3.LGB,5285,2319,75.6,44.0,55.6
NC_015948.1,Haloarcula,Archaea,4.Starts,5278,2634,85.8,50.1,63.3
NC_015948.1,Haloarcula,Archaea,5.Filter2,5008,2621,85.4,52.5,65.0
NC_015948.1,Haloarcula,Archaea,6.Hybrid,2510,2296,74.8,91.5,82.3
NC_003030.1,C. acetobutyl.,Firmicutes,1.ORFs,48892,3678,99.2,34.6,51.3
NC_003030.1,C. acetobutyl.,Firmicutes,2.Filter1,19740,3448,93.0,53.6,68.0
NC_003030.1,C. acetobutyl.,Firmicutes,3.LGB,3552,3022,81.5,85.1,83.3
NC_003030.1,C. acetobutyl.,Firmicutes,4.Starts,3552,3330,89.9,93.8,91.8
NC_003030.1,C. acetobutyl.,Firmicutes,5.Filter2,3485,3285,88.6,94.3,91.4
NC_003030.1,C. acetobutyl.,Firmicutes,6.Hybrid,3390,3249,87.7,95.8,91.6
NC_004350.2,S. agalactiae,Firmicutes,1.ORFs,40793,1886,97.6,27.9,43.5
NC_004350.2,S. agalactiae,Firmicutes,2.Filter1,13147,1770,91.6,51.4,65.9
NC_004350.2,S. agalactiae,Firmicutes,3.LGB,1810,1619,83.8,89.4,86.5
NC_004350.2,S. agalactiae,Firmicutes,4.Starts,1810,1707,88.4,94.3,91.2
NC_004350.2,S. agalactiae,Firmicutes,5.Filter2,1750,1672,86.5,95.5,90.8
NC_004350.2,S. agalactiae,Firmicutes,6.Hybrid,1727,1659,85.9,96.1,90.7
