acc,gc_pct,n_groups,n_tp,sd_prevalence,auc_raw_combined_max,auc_raw_rbs_max,auc_raw_imm_max,auc_raw_start_select_max,auc_raw_codon_max,auc_raw_combined_mean,auc_raw_rbs_dominance,auc_z_combined_max,auc_z_rbs_max,auc_z_imm_max,auc_z_start_select_max,auc_z_codon_max,auc_z_combined_mean,auc_z_rbs_dominance,std_combined_max,std_rbs_max,std_imm_max,sd_prev_val
NC_002947.4,61.5,10181,4136,0.44,0.9228,0.8221,0.9079,0.8356,0.8898,0.9005,0.8526,0.9228,0.8221,0.9079,0.8356,0.8898,0.9005,0.8526,1.9135,1.4166,0.0793,0.44
NC_002929.2,67.7,7576,2824,0.22,0.8574,0.7894,0.8273,0.7563,0.8513,0.8026,0.837,0.8574,0.7894,0.8273,0.7563,0.8513,0.8026,0.837,1.6817,1.342,0.0606,0.22
NC_003143.1,47.6,5344,3714,0.495,0.9375,0.8669,0.8876,0.9184,0.8206,0.9005,0.9002,0.9375,0.8669,0.8876,0.9184,0.8206,0.9005,0.9002,1.9841,1.4903,0.1166,0.495
NC_003116.1,51.8,4519,1725,0.395,0.9137,0.7861,0.8676,0.8491,0.8286,0.9001,0.8377,0.9137,0.7861,0.8676,0.8491,0.8286,0.9001,0.8377,1.9057,1.5818,0.0938,0.395
NC_004757.1,50.7,5159,2387,0.3,0.9252,0.8391,0.8906,0.9026,0.842,0.886,0.8759,0.9252,0.8391,0.8906,0.9026,0.842,0.886,0.8759,1.9437,1.6279,0.056,0.3
NC_008497.1,46.2,2372,2078,0.71,0.9573,0.9344,0.9026,0.9427,0.9045,0.9358,0.9179,0.9573,0.9344,0.9026,0.9427,0.9045,0.9358,0.9179,1.6328,1.4502,0.0573,0.71
NC_004350.2,36.8,1979,1771,0.645,0.962,0.8991,0.9044,0.95,0.9518,0.9568,0.9056,0.962,0.8991,0.9044,0.95,0.9518,0.9568,0.9056,1.6018,1.4046,0.0588,0.645
NC_006270.3,46.2,6214,3861,0.725,0.9585,0.9343,0.9062,0.9446,0.9044,0.935,0.9138,0.9585,0.9343,0.9062,0.9446,0.9044,0.935,0.9138,2.0465,1.88,0.0682,0.725
NC_006274.1,35.4,5527,4783,0.77,0.9572,0.9317,0.8736,0.9445,0.9094,0.9262,0.9099,0.9572,0.9317,0.8736,0.9445,0.9094,0.9262,0.9099,1.6329,1.5764,0.0605,0.77
NC_003030.1,30.9,3768,3448,0.745,0.9475,0.9367,0.8237,0.9296,0.8539,0.9103,0.9117,0.9475,0.9367,0.8237,0.9296,0.8539,0.9103,0.9117,1.4172,1.4924,0.0465,0.745
NC_003155.5,70.7,20154,6377,0.295,0.9124,0.7657,0.8908,0.8196,0.9331,0.8961,0.8411,0.9124,0.7657,0.8908,0.8196,0.9331,0.8961,0.8411,1.8317,1.464,0.0563,0.295
NC_003450.3,53.8,5515,2470,0.485,0.9645,0.7971,0.9383,0.9312,0.8959,0.9426,0.8841,0.9645,0.7971,0.9383,0.9312,0.8959,0.9426,0.8841,2.1101,1.5237,0.0755,0.485
NC_002677.1,57.8,6167,1745,0.295,0.9021,0.8086,0.8784,0.899,0.903,0.8843,0.8497,0.9021,0.8086,0.8784,0.899,0.903,0.8843,0.8497,1.9388,1.6098,0.0506,0.295
NC_008268.1,67.5,16312,5514,0.32,0.942,0.7985,0.946,0.8558,0.94,0.9296,0.8704,0.942,0.7985,0.946,0.8558,0.94,0.9296,0.8704,1.8542,1.4753,0.0543,0.32
NC_006958.1,53.8,5382,2412,0.475,0.9654,0.7955,0.945,0.9353,0.9032,0.9459,0.8906,0.9654,0.7955,0.945,0.9353,0.9032,0.9459,0.8906,2.1121,1.5119,0.0737,0.475
NC_008818.1,53.7,2388,1600,0.345,0.9687,0.8329,0.9608,0.9712,0.9654,0.9513,0.8934,0.9687,0.8329,0.9608,0.9712,0.9654,0.9513,0.8934,1.9113,1.6067,0.0587,0.345
NC_015948.1,63.7,7857,2978,0.205,0.942,0.7361,0.9231,0.8611,0.9223,0.9287,0.8342,0.942,0.7361,0.9231,0.8611,0.9223,0.9287,0.8342,1.9279,1.5314,0.0842,0.205
NC_014408.1,48.6,2983,1630,0.47,0.972,0.8724,0.9496,0.9568,0.9441,0.9625,0.8794,0.972,0.8724,0.9496,0.9568,0.9441,0.9625,0.8794,1.9201,1.8052,0.0806,0.47
NC_019977.1,42.6,3633,2137,0.47,0.9562,0.8685,0.9149,0.9371,0.8993,0.9353,0.8869,0.9562,0.8685,0.9149,0.9371,0.8993,0.9353,0.8869,1.9194,1.7097,0.0584,0.47
NC_007644.1,55.8,4872,2389,0.655,0.9176,0.8819,0.8737,0.874,0.7707,0.87,0.8838,0.9176,0.8819,0.8737,0.874,0.7707,0.87,0.8838,1.9112,1.832,0.0603,0.655
